Data,01.09.2021,02.09.2021,03.09.2021,04.09.2021,05.09.2021,06.09.2021,07.09.2021,08.09.2021,09.09.2021,10.09.2021,11.09.2021,12.09.2021,13.09.2021,14.09.2021,15.09.2021,16.09.2021,17.09.2021,18.09.2021,19.09.2021,20.09.2021,21.09.2021,22.09.2021,23.09.2021,24.09.2021,25.09.2021,26.09.2021,27.09.2021,28.09.2021,29.09.2021,30.09.2021,01.10.2021,02.10.2021,03.10.2021,04.10.2021,05.10.2021,06.10.2021,07.10.2021,08.10.2021,09.10.2021,10.10.2021,11.10.2021,12.10.2021,13.10.2021,14.10.2021,15.10.2021,16.10.2021,17.10.2021,18.10.2021,,,,,,,,,,,,,,
Corbeanca,1.15,1.15,1.15,1.05,1.15,1.05,0.84,0.94,0.94,1.46,1.36,1.67,2.2,2.93,3.24,3.35,3.35,3.66,3.97,4.18,4.29,4.39,4.39,4.18,4.6,5.12,5.37,6.42,6.84,7.57,8.31,9.36,10.21,11.57,13.36,14.84,16.62,18.31,19.68,21.15,21.44,21.75,22.7,22.17,22.07,22.7,23.12,22.47,,,,,,,,,,,,,,
Cornetu,0.61,0.46,0.61,0.61,0.61,0.61,0.61,0.61,0.46,0.46,0.46,0.76,0.61,0.46,0.61,0.61,0.61,0.76,1.37,1.52,2.12,2.42,2.58,3.03,3.18,3.33,4.54,5,5,5.3,5.75,5.91,5.6,7.27,7.42,7.88,7.88,8.94,10.3,10.9,11.36,12.87,14.23,14.69,14.53,16.96,16.81,16.2,,,,,,,,,,,,,,
Dascălu,0,0,0,0,0,0,0,0,0,0.33,0.33,0.66,0.66,0.66,0.66,0.99,0.99,1.64,1.64,1.64,1.64,1.97,1.97,1.64,1.97,1.64,1.64,1.97,1.97,1.64,1.97,1.31,1.64,1.64,1.64,2.3,2.63,3.29,4.93,5.26,5.58,5.91,5.91,6.24,6.57,8.54,8.87,9.19,,,,,,,,,,,,,,
Dărăști Ilfov,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0,0,0,0,0,0.37,0.37,0.37,0.73,1.47,2.2,3.31,3.31,3.68,3.68,3.68,5.15,5.15,6.25,6.64,7.37,7.74,7.74,7.01,8.11,7.37,7.38,8.12,8.48,7.75,7.38,9.96,9.22,9.97,10.34,9.97,10.34,11.81,9.97,11.44,11.81,,,,,,,,,,,,,,
1 Decembrie,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,0.83,0.59,0.71,0.71,0.83,1.3,1.3,1.65,1.77,1.77,1.77,2.37,2.72,3.08,3.19,3.31,4.14,5.21,5.92,6.16,6.28,7.46,7.82,8.65,10.07,10.54,11.13,11.37,11.84,12.08,12.44,12.31,12.55,12.78,13.38,14.8,15.03,16.1,15.63,,,,,,,,,,,,,,
Dobroești,1.35,1.43,1.43,1.51,1.43,1.43,1.67,1.75,1.67,1.83,1.91,1.67,2.23,2.23,2.31,2.47,2.7,2.54,3.26,3.98,4.85,5.57,5.89,6.92,8.12,8.91,9.31,9.78,10.1,11.3,11.61,12.57,13.52,13.68,14.4,15.36,15.75,16.39,16.47,17.66,17.55,18.18,19.22,19.06,20.17,20.33,19.85,19.67,,,,,,,,,,,,,,
Domnești,1,1,0.91,0.91,1.18,1.37,1.46,1.46,1.55,2,1.91,1.82,1.73,2.09,2.28,2.37,2.46,2.55,2.64,2.74,2.93,3.02,3.47,3.11,3.93,4.48,4.94,4.94,5.49,5.86,6.41,7.6,8.79,10.36,12.38,13.29,14.39,15.59,16.59,16.87,18.05,19.05,19.79,20.79,21.53,21.53,22.99,22.14,,,,,,,,,,,,,,
Dragomirești-Vale,1.34,1.34,0.84,0.33,0.5,0.5,0.5,0.5,0.5,0.5,0.33,0.67,0.84,0.84,0.84,0.84,1.34,1.67,1.51,1.68,2.01,2.35,2.35,2.52,2.85,2.69,3.37,3.88,5.22,5.56,6.24,6.07,7.08,7.76,10.12,11.13,11.13,11.13,12.82,14.5,14.67,14.33,13.83,14.67,15.35,16.69,17.71,18.06,,,,,,,,,,,,,,
Găneasa,0.55,0.55,0.37,0.37,0.37,0.37,0.37,0.73,0.73,0.92,1.28,1.28,1.65,1.28,1.28,1.28,1.46,1.46,1.83,2.01,2.74,2.93,3.48,3.84,3.66,4.02,4.57,4.57,5.3,5.66,5.85,5.85,6.21,6.58,6.03,6.76,6.58,7.67,8.58,8.95,8.94,9.49,9.31,9.13,10.22,11.87,11.5,13.12,,,,,,,,,,,,,,
Glina,0.82,0.82,0.82,0.93,0.58,0.7,0.81,0.93,0.93,0.93,1.16,1.4,1.4,1.51,1.86,1.98,2.44,2.44,3.61,3.61,3.72,3.84,4.07,4.07,4.3,4.19,4.07,4.65,4.65,5.12,5.82,6.4,5.47,6.05,6.52,6.98,8.03,8.38,9.2,10.94,11.64,11.41,11.64,11.41,10.83,11.64,11.99,12.58,,,,,,,,,,,,,,
Grădiștea,0.32,0.32,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.64,0.32,0.32,0.32,0.32,0.32,0.96,0.96,1.28,1.28,1.28,1.92,2.24,2.88,3.2,4.16,4.81,5.13,5.13,5.45,4.49,5.45,5.45,6.41,8.33,8.65,8.33,7.69,8.65,9.93,9.93,10.25,10.89,10.57,10.89,11.53,11.85,12.49,,,,,,,,,,,,,,
Gruiu,0.85,0.85,0.85,0.85,0.85,0.99,1.13,0.85,0.85,1.27,1.42,1.42,1.42,1.56,1.56,1.98,2.27,2.55,3.11,3.12,3.26,3.4,3.82,3.54,3.4,4.11,4.11,4.25,4.54,5.81,6.52,6.8,8.08,8.65,9.65,10.22,11.21,13.34,14.61,14.19,15.33,15.04,15.33,15.47,16.04,16.18,15.33,14.48,,,,,,,,,,,,,,
Jilava,1.03,1.03,1.03,1.22,1.31,1.31,1.13,1.13,1.31,1.41,1.59,1.69,1.69,1.41,1.31,1.69,2.06,2.25,2.53,2.81,2.81,3.09,3.28,3.56,3.46,4.03,4.31,4.87,5.24,5.15,5.81,7.21,7.3,7.96,8.9,9.74,10.3,10.58,12.27,13.3,13.96,13.96,14.9,15.37,15.46,14.05,14.62,15.38,,,,,,,,,,,,,,
Moara Vlăsiei,0.31,0.31,0.31,0.31,0.31,0.62,0.62,0.77,0.93,0.77,0.93,0.93,0.93,1.08,1.39,1.54,1.7,2.47,2.63,2.47,2.16,2.01,2.01,2.47,2.32,4.32,4.32,4.32,3.86,3.86,4.79,5.4,5.56,6.33,7.41,8.65,9.73,10.04,11.12,9.73,10.65,11.27,11.73,12.35,11.43,10.5,11.89,12.5,,,,,,,,,,,,,,
Măgurele,1.11,0.95,0.95,0.95,0.95,1.03,1.03,1.03,1.03,1.19,1.11,1.27,0.79,0.79,0.95,1.03,1.66,2.14,2.77,2.85,3.17,3.72,3.8,4.6,4.99,5.94,6.75,7.3,7.86,8.49,9.44,10.63,10.71,11.82,12.46,12.62,13.33,13.33,14.36,14.2,14.53,14.92,16.04,16.91,17.31,16.51,17.39,17.05,,,,,,,,,,,,,,
Mogoșoaia,1.41,1.41,1.52,1.41,1.41,1.52,1.52,1.52,1.52,1.63,2.06,2.28,3.03,3.36,3.03,3.36,3.58,3.79,4.23,4.45,4.88,5.21,5.53,5.86,6.18,8.57,8.68,9.01,9.77,9.98,10.42,11.07,12.48,13.68,14.33,15.2,15.09,15.64,16.29,14.23,14.64,14.21,13.99,14.21,14.43,14.97,13.88,13.65,,,,,,,,,,,,,,
Nuci,0.36,0.36,0.36,0.36,0.36,0.73,0.73,0.73,0.73,0.73,1.1,1.1,1.1,0.73,0.73,0.73,0.73,0.73,0.73,0.37,0.37,0.37,0.37,0.73,1.1,1.47,1.48,1.48,1.48,1.48,2.21,2.58,3.69,3.69,3.69,5.17,5.54,6.64,7.38,8.86,9.59,9.59,9.59,9.59,8.86,9.23,8.86,9.96,,,,,,,,,,,,,,
Otopeni,0.83,0.78,0.88,0.93,0.93,1.03,1.07,1.22,1.12,1.37,1.56,1.56,1.66,1.9,2.29,2.49,2.59,2.88,3.66,3.76,4.2,4.34,5.27,5.56,5.81,6.35,7.22,7.75,7.9,8.39,9.22,9.66,10.34,10.67,11.88,11.98,12.57,13.1,14.42,15.15,15.33,16.16,17.18,17.96,18.64,19.28,19.28,19.75,,,,,,,,,,,,,,
Pantelimon,0.74,0.84,0.84,0.93,1.03,1.06,1.19,1.32,1.35,1.54,1.57,1.73,1.86,1.93,1.93,2.06,2.12,2.18,2.5,2.69,2.73,3.02,3.46,3.85,4.43,4.78,5.13,5.39,5.68,6.13,7.25,7.7,8.05,8.4,8.94,9.36,9.62,10.36,10.84,11.38,11.66,12.66,12.91,13.11,13.01,13.75,14.36,14.61,,,,,,,,,,,,,,
Petrăchioaia,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0,0,0,0,0,0,0.28,0.84,0.84,1.4,1.67,1.67,1.67,2.23,2.51,3.06,3.34,3.62,3.62,4.47,4.75,4.19,4.19,4.47,6.15,7.82,9.48,9.76,10.32,10.6,10.6,11.71,13.39,14.51,14.79,14.51,14.79,14.79,14.23,15.91,14.78,,,,,,,,,,,,,,
Popești-Leordeni,1.46,1.48,1.55,1.76,1.78,1.83,1.9,1.99,2.06,2.1,2.17,2.19,2.15,2.1,2.1,2.4,2.56,2.76,3.33,3.49,3.97,4.4,4.88,5.56,6.27,6.68,7.24,8.54,9.2,9.59,10.61,10.89,11.32,12.08,12.74,13.4,13.97,15.1,16.13,17.15,17.95,17.52,18.14,18.84,19.14,19.5,19.77,20.16,,,,,,,,,,,,,,
Periș,1.74,1.87,1.87,1.74,1.6,1.6,1.47,1.47,1.87,2.01,1.47,1.47,1.34,0.94,0.94,0.8,0.8,0.94,1.47,1.61,1.87,2.01,1.87,1.87,1.74,2.14,2.28,2.41,2.41,2.55,3.22,3.89,4.15,5.09,5.63,6.16,6.7,7.64,7.91,7.77,7.92,9.13,9.93,10.34,10.2,10.07,11.01,11.55,,,,,,,,,,,,,,
Snagov,0.59,0.95,1.07,1.07,1.18,1.43,2.02,2.73,2.73,2.73,2.85,3.09,3.09,3.56,3.56,3.09,3.21,3.21,3.21,2.74,2.5,2.15,1.91,2.74,2.74,2.98,3.35,2.99,3.23,3.35,4.31,5.15,5.27,5.64,5.16,6,6.84,6.48,7.44,7.92,8.51,8.87,9.11,10.31,9.35,9.47,10.79,11.51,,,,,,,,,,,,,,
Ștefăneștii de Jos,0.59,0.49,0.49,0.78,0.88,0.88,0.88,0.88,0.98,0.98,1.27,1.56,1.47,1.47,1.47,1.86,2.25,1.96,1.96,2.54,2.73,3.61,4.1,4.59,4.88,5.37,6.44,7.12,7.51,7.51,7.8,8.87,8.87,9.16,9.84,10.33,10.82,11.6,12.38,12.38,12.94,12.65,12.55,12.55,13.91,13.91,14.79,15.06,,,,,,,,,,,,,,
Tunari,0.9,0.9,1.16,1.29,1.54,1.54,1.54,1.54,1.54,1.54,1.67,1.29,1.54,1.42,1.8,1.93,1.8,1.8,2.32,2.58,2.71,3.09,3.22,3.35,3.48,3.74,3.74,4,4.51,5.16,5.8,6.83,7.48,7.84,8.61,8.86,10.53,11.82,12.72,13.75,14.48,15.12,18.2,20.25,20.76,21.28,22.56,23.93,,,,,,,,,,,,,,
Vidra,0.11,0.11,0.11,0.23,0.23,0.23,0.23,0.45,0.57,0.79,0.79,0.79,0.79,0.68,0.79,1.02,1.36,1.36,1.47,1.59,2.15,1.93,2.15,2.27,2.49,2.95,3.06,3.39,3.51,3.85,3.51,3.85,4.3,4.53,4.3,4.53,5.1,5.89,7.14,7.48,7.69,7.92,8.82,8.82,9.39,9.61,10.63,11.09,,,,,,,,,,,,,,
Voluntari,1.38,1.42,1.42,1.38,1.38,1.46,1.51,1.64,1.75,1.77,1.99,2.05,2.08,2.29,2.23,2.43,2.8,3.21,3.71,3.71,3.93,4.13,4.54,5.55,6.09,6.77,7.66,8.29,8.73,8.94,9.6,10.69,11.37,11.84,12.76,13.48,13.92,14.66,15.75,16.77,16.91,17.28,17.56,18.04,18.43,18.28,19.09,19.02,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilfov,0.8315,0.83025,0.8635,0.90075,0.9565,0.99625,1.0445,1.12525,1.15075,1.258,1.32975,1.41975,1.53075,1.60675,1.73325,1.915,2.16175,2.3565,2.67,2.76325,3.04175,3.24375,3.519,3.8905,4.2045,4.69175,5.1865,5.567,5.85575,6.15175,6.785,7.5255,8.18075,8.8345,9.49025,10.16575,10.70825,11.3595,12.33975,12.92275,13.304,13.6045,14.155,14.6195,14.7945,14.987,15.36425,15.59325,,,,,,,,,,,,,,
